date,amount,order_id,customer_name,status
2026-10-18,12662.00,REF262998,Vikram Singh,COMPLETED
2026-10-09,10390.00,REF946335,Pooja Nair (Dup),COMPLETED
2026-10-08,9832.00,REF707040,Aditya Sharma,COMPLETED
2026-10-27,14895.00,REF945964,Ananya Iyer,COMPLETED
2026-10-09,4409.00,REF515011,Vikram Singh,COMPLETED
2026-10-06,1459.00,REF497382,Karan Verma,COMPLETED
2026-10-11,9064.00,REF373432,Sneha Reddy,COMPLETED
2026-10-22,1612.00,REF346629,Priya Patel,COMPLETED
2026-10-09,4398.00,REF801474,Ananya Iyer,COMPLETED
2026-10-21,11762.00,REF994343,Rahul Joshi,COMPLETED
2026-10-05,4156.00,REF872246,Rahul Joshi (Dup),COMPLETED
2026-10-14,2795.00,REF292401,Pooja Nair,COMPLETED
2026-10-09,10390.00,REF946335,Pooja Nair,COMPLETED
2026-10-05,4156.00,REF872246,Rahul Joshi,COMPLETED
2026-10-01,9688.00,REF217308,Rohan Gupta,COMPLETED
2026-10-14,7438.00,REF589710,Priya Patel,COMPLETED
2026-10-11,557.00,REF908577,Vikram Singh,COMPLETED
2026-10-10,2326.00,REF555884,Pooja Nair,COMPLETED
2026-10-19,1923.00,REF542417,Aditya Sharma,COMPLETED
2026-10-05,13046.00,REF234628,Rahul Joshi,COMPLETED
2026-10-13,10059.00,REF479580,Rohan Gupta,COMPLETED
2026-10-15,3176.00,REF497887,Rahul Joshi,COMPLETED
2026-10-09,3204.00,REF653306,Karan Verma,COMPLETED
2026-10-21,14288.00,REF632323,Ananya Iyer,COMPLETED
2026-10-15,8978.00,REF226882,Ananya Iyer,COMPLETED
2026-10-11,1548.00,REF122056,Rahul Joshi,COMPLETED
2026-10-05,5051.00,REF325772,Priya Patel,COMPLETED
2026-10-08,1448.00,REF694916,Priya Patel,COMPLETED
2026-10-08,14512.00,REF205907,Vikram Singh,COMPLETED
2026-10-09,2839.00,REF246413,Rahul Joshi,COMPLETED
2026-10-27,5302.00,REF759176,Sneha Reddy,COMPLETED
2026-10-30,2027.00,REF890170,Rohan Gupta,COMPLETED
2026-10-21,7927.00,REF974628,Rohan Gupta,COMPLETED
2026-10-20,8007.00,REF690341,Priya Patel,COMPLETED
2026-10-18,13280.00,REF526117,Rohan Gupta,COMPLETED
2026-10-28,4377.00,REF270395,Karan Verma,COMPLETED
2026-10-22,4097.00,REF440035,Ananya Iyer,COMPLETED
2026-10-28,1013.00,REF446479,Rahul Joshi,COMPLETED
2026-10-05,9333.00,REF858490,Meera Menon,COMPLETED
2026-10-13,1539.00,REF500156,Pooja Nair,COMPLETED
2026-10-14,10891.00,REF969634,Aditya Sharma,COMPLETED
2026-10-29,11668.00,REF663054,Sneha Reddy,COMPLETED
2026-10-26,3107.00,REF835343,Karan Verma,COMPLETED
2026-10-07,9307.00,REF630458,Rohan Gupta,COMPLETED
2026-10-22,3940.00,REF361650,Sneha Reddy,COMPLETED
2026-10-12,3003.00,REF899550,Rahul Joshi,COMPLETED
2026-10-23,7429.00,REF865990,Pooja Nair,COMPLETED
2026-10-04,10975.00,REF126225,Ananya Iyer,COMPLETED
2026-10-07,2034.00,REF343962,Meera Menon,COMPLETED
2026-10-30,3969.00,REF665492,Vikram Singh,COMPLETED
2026-10-04,3618.00,REF201639,Sneha Reddy,COMPLETED
2026-10-16,8847.00,REF195325,Priya Patel,COMPLETED
2026-10-02,9437.00,REF975136,Meera Menon,COMPLETED
2026-10-30,13256.00,REF656116,Meera Menon,COMPLETED
2026-10-11,7990.00,REF888387,Aditya Sharma,COMPLETED
2026-10-24,9988.00,REF668532,Sneha Reddy,COMPLETED
2026-10-21,3982.00,REF623481,Pooja Nair,COMPLETED
2026-10-08,11333.00,REF910620,Priya Patel,COMPLETED
2026-10-26,10520.00,REF785743,Aditya Sharma,COMPLETED
2026-10-03,10646.00,REF539589,Meera Menon,COMPLETED
2026-10-16,12490.00,REF955662,Rahul Joshi,COMPLETED
2026-10-16,5809.00,REF120422,Sneha Reddy,COMPLETED
2026-10-04,9284.00,REF496922,Rahul Joshi,COMPLETED
2026-10-22,13642.00,REF870763,Vikram Singh,COMPLETED
2026-10-06,5168.00,REF559469,Vikram Singh,COMPLETED
2026-10-19,4269.00,REF330914,Priya Patel,COMPLETED
2026-10-28,1811.00,REF294851,Meera Menon,COMPLETED
2026-10-18,933.00,REF308496,Karan Verma,COMPLETED
2026-10-21,3003.00,REF267753,Meera Menon (Dup),COMPLETED
2026-10-07,9958.00,REF838797,Aditya Sharma,COMPLETED
2026-10-15,8978.00,REF226882,Ananya Iyer (Dup),COMPLETED
2026-10-21,3003.00,REF267753,Meera Menon,COMPLETED
2026-10-02,1435.00,REF712554,Rahul Joshi,COMPLETED
2026-10-26,12931.00,REF267414,Sneha Reddy (Dup),COMPLETED
2026-10-02,13963.00,REF944151,Karan Verma,COMPLETED
2026-10-13,2018.00,REF201414,Sneha Reddy,COMPLETED
2026-10-02,2103.00,REF783823,Aditya Sharma,COMPLETED
2026-10-31,3096.00,REF340174,Anonymous User,UNKNOWN
2026-10-21,10479.00,REF279451,Ananya Iyer,COMPLETED
2026-10-16,7157.00,REF604740,Karan Verma,COMPLETED
2026-10-28,4591.00,REF179046,Rahul Joshi,COMPLETED
